               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13239,             0.10616,                   0,          0.00095238,           0.0063492,          0.00048682,          4.8682e-05,             0.13523,              0.1432,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12931,             0.10767,                   0,          0.00047619,           0.0031746,          0.00025275,           5.055e-05,             0.13459,             0.14728,                   0,            0.097299,          0.00029941,          0.00029941
                   2,             0.13166,             0.11581,                   0,           0.0014286,           0.0095238,          0.00073607,          7.3607e-05,             0.13352,             0.15251,                   0,            0.095498,          0.00049802,          0.00049802
                   3,             0.13014,             0.13837,                   0,            0.018479,           0.0063492,           0.0059568,           0.0011193,             0.13234,             0.15697,                   0,            0.093696,          0.00069584,          0.00069584
                   4,             0.12881,              0.1153,                   0,            0.002381,            0.015873,           0.0017048,          0.00062453,             0.12979,             0.16794,                   0,            0.091893,          0.00089287,          0.00089287
                   5,             0.12683,             0.13763,                   0,            0.002381,            0.015873,           0.0013876,          0.00028284,             0.12851,             0.16096,                   0,            0.090089,           0.0010891,           0.0010891
                   6,             0.12581,             0.12377,                   0,           0.0019048,            0.012698,           0.0010278,          0.00020314,             0.12696,             0.15757,                   0,            0.088285,           0.0012846,           0.0012846
                   7,             0.12476,              0.1297,                   0,           0.0033333,            0.022222,            0.002479,          0.00062876,             0.12549,              0.1546,                   0,            0.086479,           0.0014792,           0.0014792
                   8,             0.12098,             0.10119,                   0,           0.0038095,            0.025397,           0.0036507,           0.0008944,              0.1244,             0.15322,                   0,            0.084673,           0.0016731,           0.0016731
                   9,             0.12048,             0.10975,                   0,           0.0052381,            0.034921,           0.0083427,           0.0014787,              0.1231,              0.1515,                   0,            0.082866,           0.0018661,           0.0018661
                  10,             0.11824,             0.10658,                   0,           0.0071429,            0.047619,           0.0064239,           0.0015183,             0.12167,             0.15428,                   0,            0.081058,           0.0020584,           0.0020584
                  11,             0.11784,             0.10646,                   0,           0.0095238,            0.063492,           0.0084247,           0.0022144,              0.1192,             0.15219,                   0,             0.07925,           0.0022499,           0.0022499
                  12,               0.115,             0.11183,                   0,            0.037894,            0.047619,             0.01127,           0.0029126,             0.11574,             0.14967,                   0,            0.077441,           0.0024406,           0.0024406
                  13,             0.11376,            0.096284,                   0,            0.074183,            0.066667,              0.0196,           0.0044792,             0.11526,             0.14526,                   0,            0.075631,           0.0026305,           0.0026305
                  14,             0.11358,              0.1008,                   0,            0.066711,            0.073016,            0.027551,           0.0064394,             0.11029,             0.13394,                   0,             0.07382,           0.0028196,           0.0028196
                  15,             0.11482,            0.090707,                   0,             0.09169,            0.069841,            0.025875,           0.0055525,             0.12638,              0.1271,                   0,            0.072008,           0.0030079,           0.0030079
                  16,             0.11368,            0.098375,                   0,             0.12629,             0.07619,            0.028947,           0.0068733,             0.11578,             0.12006,                   0,            0.070195,           0.0031955,           0.0031955
                  17,               0.107,            0.088014,                   0,            0.070958,            0.092063,            0.027165,           0.0063363,              0.1177,             0.11908,                   0,            0.068382,           0.0033822,           0.0033822
                  18,             0.10131,            0.092153,                   0,            0.096344,             0.15556,            0.045912,            0.011249,             0.10251,             0.12404,                   0,            0.066568,           0.0035681,           0.0035681
                  19,            0.099125,            0.082467,                   0,            0.083452,             0.16825,            0.046539,            0.010283,             0.11972,             0.12118,                   0,            0.064753,           0.0037533,           0.0037533
                  20,             0.10183,            0.094652,                   0,            0.078675,              0.2381,            0.060703,            0.014997,             0.10896,             0.11933,                   0,            0.062938,           0.0039376,           0.0039376
                  21,            0.098764,             0.09143,                   0,            0.097272,             0.13968,            0.052052,             0.01295,             0.11189,             0.11893,                   0,            0.061121,           0.0041212,           0.0041212
                  22,            0.098117,            0.096137,                   0,             0.13979,             0.22222,             0.10373,            0.029683,             0.10887,               0.122,                   0,            0.059304,            0.004304,            0.004304
