               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087395,              0.1101,                   0,            0.013878,            0.015873,           0.0029826,          0.00056689,            0.042362,            0.062279,                   0,                 0.1,                   0,                   0
                   1,            0.055793,            0.091645,                   0,           0.0092287,            0.005291,           0.0017315,          0.00025719,            0.041878,            0.064606,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,            0.050949,            0.092605,                   0,            0.016994,            0.010582,           0.0029319,          0.00046605,            0.041785,            0.063214,                   0,            0.098199,          0.00019921,          0.00019921
                   3,            0.052464,             0.10225,                   0,            0.024679,            0.015873,           0.0030365,          0.00051447,            0.041601,            0.061603,                   0,            0.097298,          0.00029822,          0.00029822
                   4,            0.069496,            0.093534,                   0,            0.028006,            0.021164,           0.0055449,          0.00096916,            0.041322,            0.060328,                   0,            0.096397,          0.00039683,          0.00039683
                   5,            0.049413,            0.092084,                   0,            0.048628,            0.042328,            0.012647,           0.0019693,            0.040999,            0.059397,                   0,            0.095495,          0.00049505,          0.00049505
                   6,            0.052761,            0.078451,                   0,            0.063145,             0.05291,             0.01703,           0.0039028,            0.040572,            0.059292,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.05382,            0.079276,                   0,            0.092911,            0.079365,            0.028416,           0.0060384,            0.040099,            0.059139,                   0,             0.09369,           0.0006903,           0.0006903
                   8,            0.061735,            0.082337,                   0,             0.10241,            0.084656,            0.042348,           0.0082904,            0.039752,            0.059642,                   0,            0.092787,          0.00078733,          0.00078733
                   9,            0.067597,            0.091131,                   0,             0.13243,            0.088043,            0.048358,            0.011401,            0.039455,            0.060341,                   0,            0.091884,          0.00088396,          0.00088396
                  10,            0.042223,            0.090046,                   0,             0.14085,             0.12169,            0.063793,            0.014695,            0.039291,            0.061043,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.05506,            0.079629,                   0,               0.176,             0.15344,            0.095179,            0.020954,             0.03924,            0.061742,                   0,            0.090076,            0.001076,            0.001076
