               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12013,             0.07715,                   0,            0.015556,            0.057613,           0.0085671,           0.0016148,             0.11104,            0.060865,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11168,            0.086438,                   0,            0.016667,             0.10288,            0.010178,           0.0028799,            0.097019,            0.065559,                   0,            0.088287,           0.0012871,           0.0012871
                   2,            0.098884,             0.10457,                   0,               0.015,             0.14815,            0.010513,           0.0033481,            0.087794,            0.068509,                   0,             0.08196,           0.0019604,           0.0019604
                   3,            0.089354,            0.099305,                   0,            0.080046,            0.090535,            0.033648,            0.011079,            0.083252,            0.070395,                   0,             0.07562,           0.0026198,           0.0026198
                   4,            0.084146,             0.10935,                   0,             0.19494,             0.25908,            0.095795,            0.029875,            0.081963,            0.073258,                   0,            0.069265,           0.0032654,           0.0032654
                   5,            0.077875,             0.10358,                   0,             0.32152,             0.31593,             0.18477,            0.059627,            0.077834,            0.074672,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.07623,             0.10769,                   0,             0.26407,             0.32929,             0.19364,            0.065288,            0.076539,            0.075048,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.069934,             0.10517,                   0,             0.29032,             0.32099,             0.20469,            0.075323,            0.072498,            0.067835,                   0,            0.050119,           0.0051188,           0.0051188
                   8,            0.069933,             0.10293,                   0,             0.27496,             0.37449,             0.24909,            0.076936,            0.071556,            0.061643,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.071662,            0.090288,                   0,             0.26699,             0.32099,              0.2581,            0.071367,            0.073674,            0.060273,                   0,            0.037285,           0.0062852,           0.0062852
                  10,            0.069974,            0.097667,                   0,              0.2011,             0.40329,             0.20944,            0.061172,             0.07774,            0.057991,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.070158,            0.094384,                   0,             0.33704,             0.41564,             0.32117,             0.11073,             0.07019,            0.059737,                   0,            0.024396,           0.0073961,           0.0073961
                  12,            0.064005,            0.085074,                   0,             0.20762,             0.28807,             0.17849,            0.056337,            0.076963,             0.05897,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.067863,            0.089895,                   0,             0.27699,             0.31276,             0.23893,            0.066359,            0.073903,            0.055816,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.063111,            0.093478,                   0,             0.36689,              0.3786,             0.36366,             0.12917,            0.072385,            0.057052,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.065037,            0.082439,                   0,             0.25795,             0.31615,             0.26567,            0.078242,            0.073414,            0.059986,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.06443,             0.08756,                   0,             0.47617,             0.53909,             0.44774,             0.16401,            0.062111,            0.056231,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.056522,            0.082792,                   0,             0.41374,             0.53498,             0.38882,             0.15922,            0.063629,            0.061751,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.058001,            0.078019,                   0,             0.29879,             0.58042,             0.29424,             0.11785,            0.060776,            0.059127,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.057438,            0.081695,                   0,             0.37995,             0.53086,             0.34905,             0.13187,            0.065252,            0.058763,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.057047,            0.072798,                   0,              0.6892,             0.45267,             0.53925,             0.21945,            0.067113,            0.053951,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050894,            0.076254,                   0,             0.44849,             0.55556,             0.48632,             0.22376,            0.060543,            0.055326,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.053135,            0.078944,                   0,              0.4722,             0.57202,             0.52455,             0.26555,            0.058001,            0.055879,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055157,            0.076912,                   0,             0.63579,             0.60905,             0.62127,             0.30053,            0.055455,            0.054632,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.055752,             0.07798,                   0,             0.65244,             0.62963,             0.66247,             0.27231,            0.057372,            0.056808,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.050734,            0.079487,                   0,             0.56186,             0.57613,             0.54888,             0.27644,            0.057777,            0.057933,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.049021,            0.076327,                   0,             0.46351,             0.60082,             0.50007,             0.23786,            0.056972,            0.058033,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.046406,            0.070229,                   0,             0.54032,              0.7284,               0.557,             0.25046,            0.050449,            0.055027,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.045887,            0.072386,                   0,               0.675,             0.72649,             0.71492,             0.30552,            0.048979,            0.054818,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.04584,            0.070615,                   0,             0.50221,             0.69547,             0.56736,             0.25411,            0.053992,            0.060374,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.047813,            0.070087,                   0,             0.51219,             0.78189,             0.53722,             0.21908,            0.053596,            0.059352,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.045298,            0.069336,                   0,             0.66515,             0.76841,             0.69154,             0.28663,            0.049162,            0.056721,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.042092,              0.0732,                   0,             0.77996,             0.79012,             0.74074,             0.32471,            0.046976,            0.055312,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042837,             0.06775,                   0,              0.7547,             0.74897,             0.77327,             0.35008,            0.048428,            0.053183,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.044285,            0.074551,                   0,             0.47396,             0.70447,             0.50698,             0.23247,            0.052724,            0.055441,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.047002,            0.075337,                   0,             0.76053,             0.78417,             0.75095,             0.33923,            0.046456,            0.053878,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.047689,            0.072407,                   0,             0.74995,             0.79835,             0.74965,             0.35648,            0.049143,            0.050844,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.042841,            0.076639,                   0,              0.8581,             0.86008,             0.83512,             0.37525,             0.04454,            0.052317,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.039823,            0.071327,                   0,              0.8227,             0.88477,             0.83212,             0.38187,            0.047357,            0.051081,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.040193,            0.067455,                   0,             0.77035,             0.82716,             0.79086,             0.34313,            0.047975,            0.052303,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.040017,            0.077968,                   0,             0.80171,             0.88889,              0.8291,             0.39643,            0.043522,            0.050015,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.037958,             0.07374,                   0,             0.84732,             0.89066,              0.8702,             0.45387,             0.04189,            0.055544,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.037803,            0.073862,                   0,             0.78412,             0.89684,             0.81232,             0.40685,            0.045584,             0.05197,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040273,            0.065369,                   0,             0.83077,             0.88889,             0.83855,             0.42043,            0.044162,            0.050804,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.039026,            0.063885,                   0,             0.85024,             0.91358,             0.86061,             0.45833,            0.040887,            0.050408,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.037953,            0.066377,                   0,             0.86697,             0.91187,              0.8708,             0.44567,            0.042413,             0.05044,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.036949,            0.060808,                   0,             0.87228,             0.92181,             0.86862,             0.41011,            0.044697,            0.052405,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.038427,            0.072132,                   0,             0.85533,             0.92452,             0.82618,             0.37261,            0.043977,            0.053917,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.036882,            0.065977,                   0,             0.86148,             0.93416,             0.84485,             0.45034,            0.041738,             0.05177,                   0,            0.005347,            0.005347,            0.005347
